,X,Y
0,0.51141334,0.2490342
1,0.67013323,-0.5199334
2,-0.68191266,-0.2301496
3,-0.52291584,-0.17277357
4,-1.4222314,-0.36056307
5,-0.48634326,-0.7367592
6,2.8121603,-1.1945373
7,0.5799537,-0.6260761
8,-2.3375943,-1.5158542
9,0.58970183,-0.6273698
10,-2.970285,-2.3231928
11,-3.0558898,-2.3387368
12,2.098347,-0.8826276
13,-3.5659106,2.814989
14,0.54399455,0.42437258
15,2.1673033,3.3127139
16,0.4362886,1.6492254
17,0.17364971,1.3133788
18,0.9241103,0.48611167
19,-0.7327689,-0.37199602
20,2.7090895,-1.1173445
21,0.7425855,-0.6151608
22,0.5328381,1.6470283
23,0.5628377,1.6401991
24,0.4575901,1.6012744
25,-2.6295562,-1.4835219
26,-2.6066475,-1.5160877
27,0.45656925,1.6072373
28,3.416536,-1.0934919
29,0.51011,1.6257552
30,1.1133907,-1.7802906
31,-2.1603587,4.360293
32,3.433571,-1.0464584
33,3.091544,-1.1337757
34,0.516046,-0.66710395
35,0.5676416,-0.78725284
36,0.9467777,2.418044
37,2.727546,-1.2581707
38,0.5811941,0.45156184
39,0.73423016,-0.801319
40,-2.9002466,4.18513
41,0.5697685,-0.8371694
42,3.026879,0.6855358
43,0.45448256,0.55804247
44,0.5377753,0.067995824
45,-0.20135187,-0.48799312
46,0.8235869,-0.70046103
47,-3.0537906,1.0233355
48,1.3251122,-0.76517385
49,-0.3774532,-0.502312
50,-0.39696217,-0.57867783
51,0.695107,1.1981275
52,-1.2545798,-0.47134474
53,3.2053683,-1.0303854
54,3.201752,-1.0472289
55,-1.6884537,-0.04913684
56,2.7744887,-0.84911233
57,-0.7317773,-0.4021633
58,0.87060106,-0.9819099
59,-1.2532972,1.9821047
60,-1.7935444,0.27506825
61,-1.8218592,0.23879972
62,-1.8432702,0.20817074
63,0.67155755,-1.7139758
64,0.5823095,-0.9299793
65,1.7125363,-0.59533215
66,0.70309424,-3.1412044
67,0.3788184,-1.7830404
68,1.1827329,0.046846695
69,1.1856408,0.04711882
70,0.41366148,-2.6731389
71,0.52369314,-0.7382596
72,0.568744,-0.6381409
73,1.4074001,-0.600127
74,1.7083395,-0.5602776
75,1.7414956,-0.4179834
76,1.6809376,-0.5266292
77,-1.0077045,1.976075
78,-1.0256732,1.970415
79,0.23539002,2.2765205
80,1.9202545,-1.9786481
81,0.55900055,-0.8627804
82,0.7187866,1.4102217
83,0.4756652,-0.7007232
84,0.5002341,-0.71546817
85,0.4931453,-0.71001434
86,-0.3205725,-0.59985673
87,0.77448094,-0.76050246
88,0.4398787,4.0782833
89,1.3248391,-1.2870809
90,-1.2760105,-0.2130793
91,0.8706716,-4.3019085
92,-1.4216949,-0.11141398
93,-2.8796904,4.18501
94,0.223709,0.94388807
95,0.46636558,-0.56627345
96,1.1848807,0.18096331
97,2.08055,-1.3467015
98,-2.241242,-0.77373534
99,-1.4729639,-0.49589095
100,-0.7421316,1.9715213
101,-4.037385,2.531033
102,0.5162685,0.55617285
103,1.2962976,2.8154595
104,0.81008726,-0.70681185
105,-3.6171916,2.9028523
106,3.0945427,-1.0139792
107,0.77752554,-0.65027434
108,0.77752554,-0.65027434
109,0.5445141,-0.7936451
110,0.507985,-0.74313843
111,-0.35826933,-0.64782083
112,0.6695391,-1.7568909
113,3.0945427,-1.0139792
114,3.0263548,-0.88297546
115,-1.4152423,2.9839327
116,2.2833233,-3.788256
117,-0.73496187,1.0800675
118,-0.9575785,1.806686
119,-1.6446936,0.09268556
120,2.0953486,-1.6336588
121,-1.6422639,0.023177363
122,-1.9828688,4.3135924
123,0.6466892,0.040456094
124,0.62647784,-1.3887303
125,-1.067608,-0.97933704
126,-1.5635383,2.5921357
127,-1.5635383,2.5921357
128,2.7630556,-1.0955192
129,3.3130255,-0.84822327
130,0.68711436,0.15471861
131,-3.9495108,-1.9894093
132,-2.4395611,3.8402002
133,0.6368606,-0.5419631
134,1.9135559,-2.0011263
135,0.59968257,-0.37983778
136,0.53530437,-3.8326828
137,0.5849836,-3.5768702
138,0.5566636,-0.6659933
139,1.2853258,2.7860172
140,0.5615105,-0.8776482
141,-1.7310356,-0.99604106
142,-1.4373227,-0.06523719
143,0.78667134,-0.73478174
144,-2.2705023,2.97439
145,-2.3254693,-0.38733724
146,0.13338041,3.6256511
147,2.169985,2.7886505
148,-2.5746357,4.530091
149,-2.974618,3.7406137
150,0.45128858,0.4890177
151,0.73022205,-4.6089797
152,-1.7519438,3.301843
153,-3.3860035,1.6584023
154,0.75040686,-0.8351979
155,-1.760426,3.2866893
156,3.1635354,0.8038122
157,3.3123085,-1.9818963
158,0.52893347,-0.59134114
159,-0.795259,-0.51662517
160,-0.3615446,-0.63949597
161,0.61408716,-0.8473885
162,-0.69215035,3.0709832
163,0.49079734,-0.7291282
164,2.620297,0.6687423
165,0.46417284,0.06744636
166,0.3996392,-1.7754598
167,0.7595674,-0.5175696
168,2.557736,1.6071366
169,-3.6282628,2.8803523
170,-3.1009314,3.1772633
171,0.37009287,-2.5658472
172,-3.620513,3.320958
173,-1.2333646,1.9154102
174,0.4635831,0.39563575
175,1.2305754,-3.2235863
176,3.0196316,-0.95156074
177,-2.487229,3.9124353
178,0.6059779,-0.37567666
179,0.5617499,-0.78980726
180,-0.7516265,1.1376101
181,-1.3311012,2.126097
182,-2.0776691,-2.091718
183,0.5999255,-0.494456
184,0.6246482,-0.50066453
185,0.463489,0.0881838
186,1.3608358,2.8872979
187,0.8768555,2.3248522
188,-2.9245503,3.6991875
189,0.15411319,1.4089667
190,0.55408835,0.20132998
191,2.8619072,-1.0776839
192,0.65334237,-0.696851
193,3.5477705,-0.63399744
194,0.6667497,-0.8559476
195,0.6179377,0.26387045
196,0.6142857,0.27128348
197,-0.8747086,1.8597924
198,0.80252594,-0.77056086
199,0.9379903,2.4313066
200,0.9535049,2.4369895
201,0.97918606,2.4314196
202,-1.1568905,-0.38506648
203,0.53069353,0.09451417
204,0.97845733,2.4739084
205,-0.44450927,-0.74868447
206,0.63016003,-0.8731223
207,0.5117706,0.5413199
208,0.1955915,3.5838754
209,0.25663513,1.4080452
210,0.7416312,-0.46827537
211,0.73651934,-0.4709001
212,0.5639496,-0.5695691
213,0.6750635,-1.0228366
214,0.67758626,-0.3548029
215,0.61277366,-0.3760108
216,1.2086581,-3.1068103
217,-2.0887723,-2.1103551
218,0.64282995,-2.5455282
219,3.2165806,-0.50846046
220,1.7866263,-0.582981
221,0.72192967,-0.5685632
222,3.187236,-0.567497
223,-0.5503557,-0.7313942
224,3.2048223,-0.57106584
225,0.47775358,-0.5170817
226,3.1898665,-0.56578535
227,3.2089462,-0.62279075
228,0.6430353,-0.3637719
229,0.4385295,-1.8255904
230,0.46643287,-1.8196056
231,0.78663355,-0.88342214
232,0.8812672,-2.9491374
233,1.2537463,-2.827389
234,3.1000206,-1.0054873
