preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
Derren 1,0.15,0.74009,0.211222,0.111362,1,6.95688e-09,1.1006,0.232886,0.33064,0.917114,10.5934,-0.358078,0,1,0.5229,0.808204,0,-1,0.20171,0.251984,-0.228579,-0.416837,0,0.287752,0.59915,0.339957,0.177191,0.32997,0.979909,2.50448e-09,1,0,0,0,0,1,,,,,
Synth Strings 1,0.960411,0.02,1,1,2,0.0195569,0.02,1,1.05095,0.594336,0,0.851124,0.011899,2,0.955268,2.38653,0,0,0.0127277,0,-0.86315,-0.993575,0,0.788778,0.83,0.675502,0.00193077,0.0824253,0.477634,2.50448e-09,0,0,0,0,0,1,,,,,
Violin 1,0.391711,0.11,0.85,0.15,2,0.511366,0.02,0.707847,0.3,0.530301,8.63406,0.736762,6.70552e-07,2,1,2.25779,0,1,-0.277557,0.207631,-1,-1,0,0.954063,0.682296,0,0,0,0,1.49012e-08,0,0,0,0,0,1,,,,,
Sweet Bass,0.0591818,0.350065,0.5,0.868007,2,0,1.36265,2.78275e-09,1.04671,0.897859,16,0.271993,0,1,0.603862,1.76685,1,-1,-0.447776,0,0.4229,-1,0,0.451552,0.0784359,0.62,0.571492,0.5,0.994642,0.02,0,0,0,0,0,1,,,,,
Formant Synth Lead,0.465953,0.282384,2.78275e-09,0.322351,2,0.383031,1.33222,2.78275e-09,1.0589,0.893929,16,-0.265736,0.0615489,2,1,0.864093,2,1,0,0,-0.46097,-1,0,1,1,0.741581,0.557009,0.078985,1,0,1,0,0,0,0,1,,,,,
Caves,1.67792,0.25158,0.930628,2.13689,2,1.20148,1.88466,0.629477,0.743643,0.522167,8.74291,0.894262,0.273525,4,1,7.41958,4,0,-0.238359,0,0.932784,-1,0,0.63605,0.694407,0.943169,0.767595,0.566246,0.689255,0.619883,0,0,0,0,0,1,,,,,
Xylophone,0,0.529803,2.78275e-09,0.52916,0,0,0.536456,2.78275e-09,0.53,2.78275e-09,9.23726,-0.353677,0,0,1,0,0,2,1,0,-1,-1,0,0.469297,0.531541,0.0457566,0.150639,0.179853,0.951605,0,0,0,0,0,0,1,,,,,
Electric Organ 1,0.17,0,1,0.17,1,0,0,1,0,0.464052,0,0.324272,0.01,0,0.92,1.0773,2,0,0.0246093,0,-0.874988,-1,0,2.78275e-09,0,0.660043,0,0.0205412,0.991763,1.49012e-08,0,0,0,0,0,1,,,,,
Church Organ,0.17,0,1,0.17,1,0,0,1,0,0.427329,0,0.603278,0.04,0,0.546404,1.04254,2,-1,0.0246093,0.01,-1,-0.764157,0,0.785879,0,0.785879,1,0.115122,0.972108,0,0,0,0,0,0,1,,,,,
Reed Organ,0.17,0,1,0.17,1,0,0,1,0,0.763715,0,0.706986,0.04,0,0.546404,1.04254,2,-1,0.0246093,0.01,-1,-0.764157,0,0.785879,0,0.785879,1,0.115122,0.972108,0,0,0,0,0,0,1,,,,,
